"","selected_First_branch","selected_Second_branch","selected_br","cat"
"1",70,0,70,1
"2",9,0,9,1
"3",22,0,22,1
"4",9,0,9,1
"5",36,0,36,1
"6",36,0,36,1
"7",52,0,52,1
"8",51,0,51,1
"9",33,0,35,0
"10",30,0,29,0
"11",57,0,57,1
"12",56,0,56,1
"13",40,0,9,0
"14",76,0,18,0
"15",18,0,18,1
"16",91,0,18,0
"17",50,0,50,1
"18",6,0,6,1
"19",24,0,24,1
"20",51,0,51,1
"21",98,0,18,0
"22",50,0,50,1
"23",75,0,18,0
"24",89,0,89,1
"25",14,0,14,1
"26",6,0,6,1
"27",35,0,18,0
"28",25,0,25,1
"29",34,0,18,0
"30",36,0,36,1
"31",67,0,18,0
"32",22,0,18,0
"33",18,0,18,1
"34",63,0,18,0
"35",57,0,57,1
"36",50,0,50,1
"37",80,0,80,1
"38",9,0,9,1
"39",35,0,35,1
"40",80,0,80,1
"41",22,0,18,0
"42",18,0,18,1
"43",29,0,29,1
"44",18,0,18,1
"45",56,0,56,1
"46",9,0,9,1
"47",9,0,9,1
"48",83,0,83,1
"49",36,0,36,1
"50",9,0,9,1
"51",18,0,22,0
"52",89,0,89,1
"53",18,0,18,1
"54",62,0,62,1
"55",31,0,31,1
"56",18,0,18,1
"57",34,0,18,0
"58",35,0,35,1
"59",90,0,90,1
"60",19,0,19,1
"61",2,0,2,1
"62",50,0,50,1
"63",18,0,18,1
"64",37,0,37,1
"65",83,0,83,1
"66",18,0,18,1
"67",83,0,83,1
"68",80,0,80,1
"69",57,0,57,1
"70",72,0,18,0
"71",70,0,70,1
"72",22,0,22,1
"73",70,0,70,1
"74",28,0,28,1
"75",4,0,4,1
"76",18,0,18,1
"77",89,0,18,0
"78",50,0,50,1
"79",22,0,22,1
"80",50,0,50,1
"81",99,0,99,1
"82",45,0,45,1
"83",62,0,62,1
"84",84,0,84,1
"85",23,0,23,1
"86",37,0,99,0
"87",35,0,35,1
"88",29,0,99,0
"89",94,0,94,1
"90",88,0,88,1
"91",75,0,73,0
"92",37,0,37,1
"93",37,0,37,1
"94",98,0,98,1
"95",99,0,99,1
"96",52,0,99,0
"97",36,0,36,1
"98",23,0,23,1
"99",14,0,14,1
"100",52,0,52,1
"101",15,0,15,1
"102",14,0,14,1
"103",14,0,14,1
"104",37,0,37,1
"105",37,0,37,1
"106",26,0,26,1
"107",99,0,37,0
"108",52,0,52,1
"109",70,0,70,1
"110",62,0,62,1
"111",23,0,23,1
"112",15,0,15,1
"113",99,0,99,1
"114",89,0,99,0
"115",95,0,95,1
"116",2,0,2,1
"117",98,0,98,1
"118",99,0,37,0
"119",14,0,14,1
"120",48,0,99,0
"121",23,0,23,1
"122",37,0,37,1
"123",14,0,14,1
"124",23,0,23,1
"125",83,0,83,1
"126",83,0,83,1
"127",37,0,37,1
"128",54,0,54,1
"129",99,0,99,1
"130",45,0,45,1
"131",62,0,62,1
"132",15,0,15,1
"133",14,0,14,1
"134",2,0,2,1
"135",48,0,99,0
"136",82,0,82,1
"137",81,0,81,1
"138",99,0,99,1
"139",99,0,99,1
"140",62,0,62,1
"141",84,0,84,1
"142",37,0,37,1
"143",23,0,23,1
"144",71,0,99,0
"145",59,0,99,0
"146",12,0,99,0
"147",15,0,15,1
"148",23,0,23,1
"149",60,0,60,1
"150",80,0,80,1
"151",98,0,98,1
"152",43,0,43,1
"153",45,0,45,1
"154",23,0,99,0
"155",87,0,22,0
"156",14,0,14,1
"157",14,0,14,1
"158",11,0,99,0
"159",37,0,37,1
"160",3,0,3,1
"161",32,0,32,1
"162",39,0,39,1
"163",61,0,4,0
"164",18,0,18,1
"165",4,0,4,1
"166",55,0,55,1
"167",35,0,15,0
"168",54,0,54,1
"169",32,0,32,1
"170",58,0,58,1
"171",4,0,4,1
"172",99,0,99,1
"173",97,0,15,0
"174",15,0,15,1
"175",4,0,4,1
"176",16,0,16,1
"177",4,0,4,1
"178",15,0,99,0
"179",2,0,2,1
"180",63,0,63,1
"181",55,0,55,1
"182",65,0,63,0
"183",16,0,16,1
"184",15,0,99,0
"185",16,0,16,1
"186",15,0,15,1
"187",7,0,4,0
"188",54,0,15,0
"189",47,0,47,1
"190",15,0,15,1
"191",56,0,56,1
"192",4,0,4,1
"193",15,0,15,1
"194",95,0,97,0
"195",58,0,62,0
"196",55,0,55,1
"197",97,0,97,1
"198",16,0,16,1
"199",15,0,15,1
"200",99,0,99,1
"201",16,0,16,1
"202",28,0,28,1
"203",36,0,32,0
"204",16,0,16,1
"205",8,0,8,1
"206",8,0,8,1
"207",4,0,4,1
"208",94,0,97,0
"209",6,0,4,0
"210",54,0,54,1
"211",15,0,97,0
"212",28,0,28,1
"213",2,0,2,1
"214",4,0,4,1
"215",4,0,4,1
"216",77,0,77,1
"217",67,0,67,1
"218",18,0,18,1
"219",20,0,20,1
"220",25,0,4,0
"221",13,0,15,0
"222",63,0,63,1
"223",2,0,2,1
"224",57,0,55,0
"225",4,0,4,1
"226",31,0,31,1
"227",99,0,99,1
"228",32,0,32,1
"229",15,0,4,0
"230",44,0,44,1
"231",15,0,15,1
"232",44,0,44,1
"233",50,0,50,1
"234",15,0,15,1
"235",69,0,99,0
"236",4,0,4,1
"237",4,0,4,1
"238",46,0,15,0
"239",31,0,31,1
"240",45,0,45,1
"241",59,0,59,1
"242",36,0,36,1
"243",2,0,2,1
"244",88,0,88,1
"245",63,0,63,1
"246",13,0,13,1
"247",36,0,36,1
"248",23,0,23,1
"249",97,0,97,1
"250",36,0,36,1
"251",59,0,59,1
"252",18,0,17,0
"253",75,0,75,1
"254",69,0,35,0
"255",30,0,26,0
"256",5,0,5,1
"257",97,0,97,1
"258",10,0,36,0
"259",87,0,87,1
"260",5,0,36,0
"261",88,0,88,1
"262",94,0,94,1
"263",17,0,17,1
"264",14,0,14,1
"265",26,0,26,1
"266",6,0,6,1
"267",43,0,43,1
"268",72,0,72,1
"269",63,0,63,1
"270",88,0,88,1
"271",36,0,36,1
"272",88,0,88,1
"273",23,0,23,1
"274",35,0,36,0
"275",94,0,94,1
"276",35,0,35,1
"277",35,0,35,1
"278",56,0,56,1
"279",72,0,72,1
"280",35,0,35,1
"281",35,0,35,1
"282",2,0,2,1
"283",36,0,35,0
"284",92,0,88,0
"285",26,0,26,1
"286",93,0,36,0
"287",4,0,4,1
"288",38,0,38,1
"289",18,0,18,1
"290",23,0,23,1
"291",72,0,72,1
"292",3,0,3,1
"293",59,0,59,1
"294",26,0,26,1
"295",23,0,23,1
"296",36,0,36,1
"297",43,0,43,1
"298",65,0,36,0
"299",19,0,19,1
"300",17,0,17,1
"301",38,0,38,1
"302",59,0,59,1
"303",94,0,94,1
"304",23,0,23,1
"305",97,0,97,1
"306",59,0,59,1
"307",59,0,59,1
"308",4,0,4,1
"309",26,0,26,1
"310",26,0,26,1
"311",34,0,36,0
"312",37,0,37,1
"313",36,0,36,1
"314",23,0,23,1
"315",26,0,26,1
"316",88,0,88,1
"317",58,0,56,0
"318",60,0,59,0
"319",38,0,38,1
"320",97,0,97,1
"321",54,0,54,1
"322",90,0,90,1
"323",17,0,17,1
"324",73,0,73,1
"325",52,0,90,0
"326",90,0,90,1
"327",35,0,35,1
"328",29,0,29,1
"329",97,0,97,1
"330",73,0,73,1
"331",73,0,73,1
"332",51,0,51,1
"333",35,0,35,1
"334",88,0,88,1
"335",88,0,88,1
"336",70,0,37,0
"337",52,0,90,0
"338",16,0,15,0
"339",77,0,90,0
"340",30,0,30,1
"341",62,0,62,1
"342",97,0,97,1
"343",83,0,87,0
"344",97,0,97,1
"345",96,0,96,1
"346",30,0,30,1
"347",73,0,73,1
"348",62,0,62,1
"349",53,0,53,1
"350",67,0,67,1
"351",52,0,52,1
"352",5,0,5,1
"353",74,0,73,0
"354",87,0,87,1
"355",79,0,79,1
"356",73,0,73,1
"357",15,0,15,1
"358",97,0,97,1
"359",51,0,51,1
"360",43,0,43,1
"361",30,0,30,1
"362",49,0,49,1
"363",53,0,53,1
"364",42,0,42,1
"365",5,0,5,1
"366",90,0,90,1
"367",29,0,29,1
"368",90,0,90,1
"369",84,0,84,1
"370",43,0,43,1
"371",66,0,90,0
"372",2,0,2,1
"373",90,0,37,0
"374",92,0,92,1
"375",43,0,43,1
"376",73,0,73,1
"377",73,0,73,1
"378",37,0,37,1
"379",79,0,79,1
"380",49,0,49,1
"381",73,0,73,1
"382",89,0,87,0
"383",9,0,9,1
"384",84,0,84,1
"385",88,0,88,1
"386",87,0,87,1
"387",45,0,90,0
"388",37,0,37,1
"389",10,0,10,1
"390",37,0,90,0
"391",87,0,87,1
"392",17,0,17,1
"393",73,0,73,1
"394",84,0,84,1
"395",30,0,30,1
"396",64,0,90,0
"397",56,0,56,1
"398",90,0,90,1
"399",64,0,64,1
"400",97,0,97,1
"401",22,0,76,0
"402",59,0,59,1
"403",8,0,8,1
"404",8,0,8,1
"405",59,0,59,1
"406",26,0,26,1
"407",3,0,22,0
"408",22,0,8,0
"409",22,0,8,0
"410",48,0,48,1
"411",92,0,92,1
"412",91,0,91,1
"413",59,0,59,1
"414",32,0,32,1
"415",2,0,2,1
"416",8,0,22,0
"417",22,0,22,1
"418",53,0,53,1
"419",6,0,6,1
"420",31,0,31,1
"421",11,0,11,1
"422",35,0,35,1
"423",65,0,65,1
"424",68,0,68,1
"425",74,0,22,0
"426",20,0,20,1
"427",68,0,68,1
"428",86,0,86,1
"429",83,0,83,1
"430",78,0,78,1
"431",47,0,47,1
"432",45,0,45,1
"433",62,0,62,1
"434",22,0,22,1
"435",70,0,70,1
"436",68,0,68,1
"437",91,0,91,1
"438",57,0,57,1
"439",45,0,45,1
"440",53,0,53,1
"441",79,0,79,1
"442",25,0,25,1
"443",86,0,86,1
"444",31,0,31,1
"445",42,0,22,0
"446",34,0,34,1
"447",6,0,6,1
"448",2,0,2,1
"449",35,0,35,1
"450",22,0,22,1
"451",22,0,76,0
"452",35,0,35,1
"453",26,0,26,1
"454",86,0,86,1
"455",42,0,22,0
"456",14,0,14,1
"457",84,0,84,1
"458",63,0,76,0
"459",57,0,57,1
"460",63,0,22,0
"461",34,0,34,1
"462",20,0,20,1
"463",35,0,35,1
"464",68,0,68,1
"465",85,0,85,1
"466",31,0,31,1
"467",53,0,53,1
"468",61,0,62,0
"469",36,0,35,0
"470",22,0,22,1
"471",45,0,45,1
"472",57,0,57,1
"473",86,0,86,1
"474",40,0,40,1
"475",68,0,68,1
"476",72,0,72,1
"477",8,0,76,0
"478",53,0,53,1
"479",6,0,6,1
"480",30,0,22,0
"481",32,0,32,1
"482",67,0,67,1
"483",3,0,12,0
"484",71,0,71,1
"485",22,0,22,1
"486",12,0,12,1
"487",17,0,17,1
"488",37,0,37,1
"489",3,0,3,1
"490",3,0,12,0
"491",22,0,22,1
"492",3,0,97,0
"493",92,0,3,0
"494",12,0,3,0
"495",60,0,3,0
"496",29,0,29,1
"497",53,0,53,1
"498",18,0,18,1
"499",18,0,18,1
"500",7,0,7,1
"501",69,0,3,0
"502",3,0,3,1
"503",91,0,91,1
"504",12,0,12,1
"505",76,0,76,1
"506",20,0,20,1
"507",97,0,97,1
"508",3,0,3,1
"509",40,0,3,0
"510",91,0,91,1
"511",67,0,67,1
"512",29,0,29,1
"513",25,0,25,1
"514",52,0,3,0
"515",32,0,32,1
"516",29,0,29,1
"517",53,0,3,0
"518",8,0,8,1
"519",4,0,3,0
"520",8,0,8,1
"521",55,0,55,1
"522",14,0,14,1
"523",25,0,25,1
"524",73,0,3,0
"525",3,0,3,1
"526",29,0,29,1
"527",67,0,67,1
"528",67,0,67,1
"529",3,0,3,1
"530",97,0,97,1
"531",66,0,66,1
"532",8,0,8,1
"533",97,0,97,1
"534",3,0,3,1
"535",12,0,12,1
"536",76,0,76,1
"537",7,0,7,1
"538",3,0,3,1
"539",53,0,53,1
"540",87,0,87,1
"541",20,0,20,1
"542",53,0,53,1
"543",12,0,12,1
"544",97,0,97,1
"545",2,0,3,0
"546",7,0,7,1
"547",7,0,7,1
"548",75,0,3,0
"549",64,0,64,1
"550",52,0,52,1
"551",52,0,52,1
"552",91,0,91,1
"553",32,0,32,1
"554",35,0,35,1
"555",91,0,91,1
"556",7,0,7,1
"557",91,0,91,1
"558",29,0,29,1
"559",75,0,3,0
"560",40,0,39,0
"561",16,0,16,1
"562",5,0,5,1
"563",46,0,46,1
"564",4,0,4,1
