"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"1",0.05,0.05,"MO","Binary","10%",923,1600,0.576875
"2",0.1,0.05,"MO","Binary","10%",765,1600,0.478125
"3",0.2,0.05,"MO","Binary","10%",471,1600,0.294375
"4",0.4,0.05,"MO","Binary","10%",214,1600,0.13375
"5",0.05,0.1,"MO","Binary","10%",824,1600,0.515
"6",0.1,0.1,"MO","Binary","10%",618,1600,0.38625
"7",0.2,0.1,"MO","Binary","10%",375,1600,0.234375
"8",0.4,0.1,"MO","Binary","10%",158,1600,0.09875
"9",0.05,0.2,"MO","Binary","10%",658,1600,0.41125
"10",0.1,0.2,"MO","Binary","10%",486,1600,0.30375
"11",0.2,0.2,"MO","Binary","10%",291,1600,0.181875
"12",0.4,0.2,"MO","Binary","10%",113,1600,0.070625
"13",0.05,0.4,"MO","Binary","10%",388,1600,0.2425
"14",0.1,0.4,"MO","Binary","10%",261,1600,0.163125
"15",0.2,0.4,"MO","Binary","10%",160,1600,0.1
"16",0.4,0.4,"MO","Binary","10%",50,1600,0.03125
"17",0.05,0.05,"SCITE","Binary","10%",812,1600,0.5075
"18",0.1,0.05,"SCITE","Binary","10%",543,1600,0.339375
"19",0.2,0.05,"SCITE","Binary","10%",312,1600,0.195
"20",0.4,0.05,"SCITE","Binary","10%",148,1600,0.0925
"21",0.05,0.1,"SCITE","Binary","10%",768,1600,0.48
"22",0.1,0.1,"SCITE","Binary","10%",449,1600,0.280625
"23",0.2,0.1,"SCITE","Binary","10%",270,1600,0.16875
"24",0.4,0.1,"SCITE","Binary","10%",137,1600,0.085625
"25",0.05,0.2,"SCITE","Binary","10%",651,1600,0.406875
"26",0.1,0.2,"SCITE","Binary","10%",389,1600,0.243125
"27",0.2,0.2,"SCITE","Binary","10%",214,1600,0.13375
"28",0.4,0.2,"SCITE","Binary","10%",131,1600,0.081875
"29",0.05,0.4,"SCITE","Binary","10%",399,1600,0.249375
"30",0.1,0.4,"SCITE","Binary","10%",240,1600,0.15
"31",0.2,0.4,"SCITE","Binary","10%",159,1600,0.099375
"32",0.4,0.4,"SCITE","Binary","10%",113,1600,0.070625
"33",0.05,0.05,"SiFit","Binary","10%",404,1600,0.2525
"34",0.1,0.05,"SiFit","Binary","10%",361,1600,0.225625
"35",0.2,0.05,"SiFit","Binary","10%",275,1600,0.171875
"36",0.4,0.05,"SiFit","Binary","10%",116,1600,0.0725
"37",0.05,0.1,"SiFit","Binary","10%",334,1600,0.20875
"38",0.1,0.1,"SiFit","Binary","10%",290,1600,0.18125
"39",0.2,0.1,"SiFit","Binary","10%",210,1600,0.13125
"40",0.4,0.1,"SiFit","Binary","10%",93,1600,0.058125
"41",0.05,0.2,"SiFit","Binary","10%",295,1600,0.184375
"42",0.1,0.2,"SiFit","Binary","10%",234,1600,0.14625
"43",0.2,0.2,"SiFit","Binary","10%",155,1600,0.096875
"44",0.4,0.2,"SiFit","Binary","10%",79,1600,0.049375
"45",0.05,0.4,"SiFit","Binary","10%",172,1600,0.1075
"46",0.1,0.4,"SiFit","Binary","10%",138,1600,0.08625
"47",0.2,0.4,"SiFit","Binary","10%",80,1600,0.05
"48",0.4,0.4,"SiFit","Binary","10%",13,1600,0.008125
"49",0.05,0.05,"MO","Ternary","10%",939,1600,0.586875
"50",0.1,0.05,"MO","Ternary","10%",760,1600,0.475
"51",0.2,0.05,"MO","Ternary","10%",474,1600,0.29625
"52",0.4,0.05,"MO","Ternary","10%",220,1600,0.1375
"53",0.05,0.1,"MO","Ternary","10%",855,1600,0.534375
