"","selected_First_branch","selected_Second_branch","selected_br","cat"
"1",5,0,5,1
"2",14,0,9,0
"3",9,0,9,1
"4",9,0,9,1
"5",7,0,7,1
"6",13,0,13,1
"7",7,0,7,1
"8",9,0,6,0
"9",7,0,7,1
"10",3,0,3,1
"11",10,0,10,1
"12",6,0,9,0
"13",14,0,14,1
"14",6,0,6,1
"15",8,0,10,0
"16",9,0,9,1
"17",9,0,9,1
"18",9,0,6,0
"19",6,0,6,1
"20",9,0,9,1
"21",9,0,9,1
"22",12,0,12,1
"23",13,0,13,1
"24",5,0,5,1
"25",9,0,9,1
"26",11,0,11,1
"27",9,0,9,1
"28",14,0,14,1
"29",3,0,3,1
"30",9,0,9,1
"31",9,0,9,1
"32",13,0,13,1
"33",9,0,9,1
"34",11,0,11,1
"35",6,0,6,1
"36",9,0,9,1
"37",10,0,10,1
"38",9,0,9,1
"39",6,0,6,1
"40",4,0,6,0
"41",10,0,10,1
"42",8,0,8,1
"43",2,0,2,1
"44",8,0,6,0
"45",6,0,6,1
"46",2,0,2,1
"47",8,0,8,1
"48",2,0,2,1
"49",18,0,18,1
"50",3,0,2,0
"51",18,0,18,1
"52",18,0,18,1
"53",9,0,9,1
"54",6,0,6,1
"55",7,0,7,1
"56",18,0,18,1
"57",8,0,8,1
"58",8,0,8,1
"59",2,0,2,1
"60",13,0,13,1
"61",18,0,18,1
"62",8,0,8,1
"63",2,0,2,1
"64",6,0,6,1
"65",8,0,8,1
"66",10,0,10,1
"67",6,0,6,1
"68",2,0,2,1
"69",10,0,8,0
"70",4,0,4,1
"71",8,0,8,1
"72",2,0,2,1
"73",5,0,5,1
"74",2,0,2,1
"75",7,0,7,1
"76",2,0,2,1
"77",18,0,8,0
"78",18,0,18,1
"79",8,0,8,1
"80",8,0,8,1
"81",18,0,18,1
"82",7,0,7,1
"83",3,0,3,1
"84",3,0,3,1
"85",7,0,7,1
"86",3,0,3,1
"87",12,0,12,1
"88",3,0,3,1
"89",7,0,7,1
"90",17,0,17,1
"91",14,0,14,1
"92",5,0,5,1
"93",12,0,12,1
"94",12,0,12,1
"95",7,0,7,1
"96",7,0,7,1
"97",7,0,7,1
"98",5,0,5,1
"99",7,0,19,0
"100",7,0,7,1
"101",5,0,5,1
"102",19,0,7,0
"103",11,0,11,1
"104",7,0,7,1
"105",19,0,19,1
"106",19,0,19,1
"107",17,0,17,1
"108",12,0,12,1
"109",11,0,11,1
"110",7,0,7,1
"111",3,0,3,1
"112",19,0,19,1
"113",3,0,3,1
"114",12,0,12,1
"115",15,0,15,1
"116",9,0,9,1
"117",3,0,3,1
"118",3,0,3,1
"119",17,0,17,1
"120",3,0,3,1
"121",19,0,19,1
"122",7,0,7,1
"123",18,0,18,1
"124",19,0,19,1
"125",19,0,19,1
"126",11,0,10,0
"127",3,0,3,1
"128",19,0,19,1
"129",19,0,18,0
"130",7,0,7,1
"131",18,0,18,1
"132",2,0,2,1
"133",12,0,10,0
"134",10,0,10,1
"135",19,0,19,1
"136",18,0,18,1
"137",3,0,3,1
"138",18,0,18,1
"139",13,0,13,1
"140",10,0,10,1
"141",18,0,18,1
"142",19,0,19,1
"143",18,0,19,0
"144",7,0,7,1
"145",10,0,10,1
"146",10,0,10,1
"147",10,0,10,1
"148",13,0,13,1
"149",18,0,18,1
"150",18,0,18,1
"151",3,0,3,1
"152",3,0,3,1
"153",10,0,10,1
"154",3,0,3,1
"155",19,0,19,1
"156",10,0,10,1
"157",10,0,10,1
"158",10,0,10,1
"159",7,0,7,1
"160",10,0,10,1
"161",19,0,3,0
"162",17,0,17,1
"163",9,0,9,1
"164",19,0,19,1
"165",13,0,13,1
"166",17,0,17,1
"167",19,0,19,1
"168",6,0,6,1
"169",19,0,19,1
"170",3,0,17,0
"171",13,0,13,1
"172",3,0,3,1
"173",19,0,19,1
"174",3,0,3,1
"175",8,0,8,1
"176",13,0,13,1
"177",13,0,13,1
"178",17,0,17,1
"179",3,0,3,1
"180",3,0,3,1
"181",3,0,3,1
"182",3,0,17,0
"183",3,0,3,1
"184",3,0,3,1
"185",19,0,19,1
"186",17,0,17,1
"187",3,0,3,1
"188",13,0,13,1
"189",17,0,17,1
"190",6,0,6,1
"191",19,0,19,1
"192",3,0,3,1
"193",14,0,14,1
"194",2,0,2,1
"195",17,0,17,1
"196",8,0,8,1
"197",3,0,3,1
"198",8,0,8,1
"199",14,0,14,1
"200",13,0,13,1
"201",6,0,6,1
"202",19,0,19,1
"203",18,0,18,1
"204",14,0,14,1
"205",13,0,13,1
"206",8,0,8,1
"207",4,0,4,1
"208",17,0,17,1
"209",12,0,12,1
"210",5,0,5,1
"211",3,0,3,1
"212",5,0,5,1
"213",4,0,4,1
"214",5,0,5,1
"215",4,0,4,1
"216",5,0,5,1
"217",8,0,8,1
"218",5,0,5,1
"219",14,0,5,0
"220",5,0,5,1
"221",4,0,4,1
"222",4,0,4,1
"223",8,0,8,1
"224",6,0,6,1
"225",9,0,9,1
"226",2,0,2,1
"227",12,0,12,1
"228",5,0,5,1
"229",9,0,9,1
"230",14,0,14,1
"231",17,0,17,1
"232",2,0,2,1
"233",4,0,4,1
"234",4,0,4,1
"235",2,0,2,1
"236",5,0,5,1
"237",14,0,14,1
"238",9,0,9,1
"239",4,0,4,1
"240",17,0,17,1
"241",17,0,17,1
"242",17,0,17,1
"243",17,0,17,1
"244",9,0,9,1
"245",17,0,17,1
"246",17,0,17,1
"247",17,0,17,1
"248",17,0,17,1
"249",4,0,4,1
"250",13,0,13,1
"251",17,0,17,1
"252",17,0,17,1
"253",17,0,17,1
"254",13,0,13,1
"255",17,0,18,0
"256",17,0,17,1
"257",13,0,13,1
"258",17,0,17,1
"259",18,0,18,1
"260",18,0,18,1
"261",17,0,17,1
"262",10,0,10,1
"263",17,0,17,1
"264",4,0,4,1
"265",18,0,18,1
"266",17,0,17,1
"267",10,0,10,1
"268",10,0,10,1
"269",17,0,17,1
"270",13,0,13,1
"271",4,0,4,1
"272",17,0,17,1
"273",17,0,17,1
"274",17,0,17,1
"275",17,0,17,1
"276",9,0,9,1
"277",17,0,17,1
"278",18,0,18,1
"279",17,0,17,1
"280",17,0,17,1
"281",10,0,10,1
"282",6,0,6,1
"283",13,0,13,1
"284",8,0,10,0
"285",7,0,7,1
"286",15,0,15,1
"287",2,0,2,1
"288",15,0,15,1
"289",10,0,10,1
"290",18,0,18,1
"291",16,0,16,1
"292",15,0,15,1
"293",6,0,7,0
"294",2,0,2,1
"295",2,0,2,1
"296",4,0,4,1
"297",19,0,19,1
"298",13,0,13,1
"299",10,0,10,1
"300",7,0,7,1
"301",8,0,8,1
"302",13,0,13,1
"303",10,0,10,1
"304",16,0,16,1
"305",16,0,16,1
"306",10,0,10,1
"307",17,0,17,1
"308",10,0,10,1
"309",7,0,7,1
"310",15,0,15,1
"311",10,0,10,1
"312",10,0,10,1
"313",15,0,15,1
"314",8,0,8,1
"315",15,0,15,1
"316",18,0,18,1
"317",7,0,7,1
"318",10,0,10,1
"319",16,0,16,1
"320",12,0,10,0
"321",8,0,8,1
"322",4,0,4,1
"323",19,0,19,1
"324",10,0,10,1
"325",13,0,13,1
"326",16,0,16,1
"327",13,0,13,1
"328",3,0,3,1
