"","selected_First_branch","selected_Second_branch","selected_br","cat"
"1",5,0,9,0
"2",14,0,14,1
"3",9,0,9,1
"4",9,0,9,1
"5",7,0,7,1
"6",13,0,13,1
"7",7,0,7,1
"8",0,0,6,0
"9",9,0,9,1
"10",7,0,7,1
"11",3,0,9,0
"12",0,0,9,0
"13",10,0,9,0
"14",0,0,9,0
"15",6,0,6,1
"16",14,0,9,0
"17",6,0,6,1
"18",0,0,9,0
"19",8,0,9,0
"20",0,0,9,0
"21",0,0,9,0
"22",0,0,9,0
"23",9,0,9,1
"24",9,0,9,1
"25",9,0,9,1
"26",6,0,9,0
"27",9,0,9,1
"28",9,0,9,1
"29",12,0,9,0
"30",13,0,13,1
"31",0,0,9,0
"32",0,0,9,0
"33",5,0,6,0
"34",9,0,9,1
"35",11,0,9,0
"36",9,0,9,1
"37",14,0,9,0
"38",0,0,6,0
"39",0,0,6,0
"40",3,0,9,0
"41",9,0,9,1
"42",9,0,9,1
"43",13,0,13,1
"44",9,0,9,1
"45",11,0,9,0
"46",6,0,6,1
"47",9,0,9,1
"48",10,0,9,0
"49",9,0,9,1
"50",6,0,6,1
"51",4,0,6,0
"52",0,0,3,0
"53",0,0,12,0
"54",0,0,12,0
"55",12,0,3,0
"56",3,0,3,1
"57",9,0,10,0
"58",12,0,12,1
"59",3,0,3,1
"60",3,0,3,1
"61",19,0,19,1
"62",12,0,12,1
"63",0,0,12,0
"64",14,0,11,0
"65",3,0,3,1
"66",19,0,19,1
"67",19,0,12,0
"68",19,0,19,1
"69",16,0,16,1
"70",2,0,3,0
"71",11,0,11,1
"72",18,0,12,0
"73",0,0,3,0
"74",19,0,12,0
"75",11,0,11,1
"76",12,0,12,1
"77",3,0,3,1
"78",12,0,12,1
"79",0,0,3,0
"80",0,0,3,0
"81",0,0,3,0
"82",11,0,11,1
"83",2,0,3,0
"84",0,0,12,0
"85",17,0,17,1
"86",16,0,16,1
"87",0,0,12,0
"88",17,0,3,0
"89",16,0,16,1
"90",0,0,3,0
"91",3,0,3,1
"92",16,0,16,1
"93",3,0,3,1
"94",3,0,3,1
"95",8,0,12,0
"96",0,0,19,0
"97",3,0,3,1
"98",0,0,17,0
"99",8,0,3,0
"100",3,0,3,1
"101",19,0,19,1
"102",0,0,3,0
"103",8,0,3,0
"104",14,0,3,0
"105",3,0,3,1
"106",13,0,12,0
"107",12,0,12,1
"108",8,0,9,0
"109",19,0,19,1
"110",0,0,9,0
"111",0,0,9,0
"112",0,0,9,0
